Date,Title,Content,Url
2018/11/29 13:47,New Zealand blocks Huawei over 'significant national security risks' ,"New Zealand has become the latest country to block Huawei from supplying technology for a next-generation mobile data network over national security concerns. Spark, one of New Zealand's biggest telecom carriers, said on Wednesday that the Government Communications Security Bureau rejected its proposal to use the Chinese company's equipment in its 5G mobile network towers. ",http://www.koreatimes.co.kr/www/tech/2018/12/133_259535.html
2018/11/28 18:16,Samsung Display helps students pursue dreams ,Samsung Display has been actively performing corporate social responsibility (CSR) activities for youths and the underprivileged to make a sustainable future for local communities. ,http://www.koreatimes.co.kr/www/tech/2018/12/133_259472.html
2018/11/28 18:15,LG chooses stability over change in personnel reshuffle ,"LG Group made few changes in its first reshuffle under new Chairman Koo Kwang-mo, Wednesday, as the country's fourth-largest conglomerate decided to choose stability over change by going with current leaderships of its affiliates. ",http://www.koreatimes.co.kr/www/tech/2018/12/133_259506.html
2018/11/28 15:46,Korea to develop blockchain-based voting system,"The Ministry of Science and ICT and the National Election Commission (NEC) will complete the development of a blockchain-based voting system next month in a bid to raise reliability and security of online voting services, the ministry said Wednesday. ",http://www.koreatimes.co.kr/www/tech/2018/12/133_259481.html
2018/11/28 13:52,KT's mobile phone subscribers down after fire disrupts services ,"The number of mobile phone subscribers at KT Corp., the nation's second-largest mobile carrier, sharply fell for three days in a row after a fire at one of the company's facilities in western Seoul led to major Internet and phone disruptions, market data showed Wednesday. ",http://www.koreatimes.co.kr/www/tech/2018/12/133_259466.html
2018/11/27 17:41,SK becomes No. 2 shareholder of China's top battery parts maker ,"SK Holdings said Tuesday it has acquired a 270 billion won ($239 million) stake in China's top copper foil maker, becoming the No. 2 shareholder of the producer of the key material for electric vehicle (EV) batteries. ",http://www.koreatimes.co.kr/www/tech/2018/12/133_259442.html
2018/11/27 17:13,Samsung rolls out 16-kilogram dryer ,"Samsung Electronics rolled out a 16-kilogram capacity dryer, aiming to catch up with market leader LG Electronics, the Korean tech giant said Tuesday. ",http://www.koreatimes.co.kr/www/tech/2018/12/133_259408.html
2018/11/27 16:49,LG Uplus to launch AI services for moms ,"LG Uplus will release new artificial intelligence (AI) services on Thursday, that offer information on pregnancy and infant care to pregnant women and mothers, the company said Tuesday. ",http://www.koreatimes.co.kr/www/tech/2018/12/133_259421.html
2018/11/27 14:01,[ad award] LG healthcare appliances keep your family healthy ,"With LG Electronics' healthcare appliances, customers can keep their family healthy. ",http://www.koreatimes.co.kr/www/tech/2018/12/133_259317.html
2018/11/26 22:23,SK Innovation to build battery plant in Georgia next year ,SK Innovation said Monday it decided to build a plant for producing electronic vehicle (EV) batteries in Georgia in the U.S. next year. ,http://www.koreatimes.co.kr/www/tech/2018/12/133_259371.html
2018/11/26 17:15,'Common telecom network needed' ,"Following a fire at a KT building that caused unprecedented internet and phone disruptions, safety experts said Monday that it was urgent to revise the Fire Services Act and establish a mutual cooperation system between the nation's three telecom companies to prevent a recurrence at nationally important communication facilities. ",http://www.koreatimes.co.kr/www/tech/2018/12/133_259337.html
2018/11/26 17:11,T map taxi gaining traction due to 'anti-Kakao' sentiment among cabbies ,SK Telecom's taxi-hailing service has appeared to be benefiting from anti-Kakao sentiment among taxi drivers who have been fiercely protesting Kakao's plan to introduce an Uber-style ridesharing service. ,http://www.koreatimes.co.kr/www/tech/2018/12/133_259318.html
2018/11/26 17:08,LG Innotek unveils super-slim LED line module for vehicles ,"LG Innotek has completed development of the Nexlide-L, an ultra-thin line lighting module for vehicles which emits bright and uniform light from the module's 3-millimeter-wide apresture, the company said Monday. ",http://www.koreatimes.co.kr/www/tech/2018/12/133_259321.html
2018/11/26 14:34,[INTERVIEW] Korean linguist leads way in making Google Assistant smarter ,"In the eyes of many, Choe Hyun-jeong has a dream job. She works at Google's world headquarters, spearheading next-generation technology and overseeing hundreds of staff at the tech powerhouse. ",http://www.koreatimes.co.kr/www/tech/2018/12/133_259316.html
2018/11/25 17:18,SK to unveil mobility tech at 2019 CES ,SK Group is eyeing the mobility business as its new growth engine as the country's third-largest conglomerate will showcase its related technologies at the upcoming Consumer Electronics Show (CES). ,http://www.koreatimes.co.kr/www/tech/2018/12/133_259279.html
2018/11/25 17:16,KT vows 'active compensation' for loss,KT Chairman Hwang Chang-gyu vowed Sunday to make every effort to prepare to compensate its customers who experienced the network blackout after a weekend fire at its facility in Seoul. ,http://www.koreatimes.co.kr/www/tech/2018/12/133_259284.html
2018/11/25 17:08,Samsung unhappy with LG-Starbucks partnership ,"LG Electronics' growing partnership with Starbucks Coffee Korea over the latter's efforts to make air at its stores cleaner has alarmed Samsung Electronics, industry analysts said Friday. ",http://www.koreatimes.co.kr/www/tech/2018/12/133_259184.html
2018/11/23 17:47,11-year conflict over Samsung leukemia finally ends ,"Samsung Electronics made an official apology, Friday, to victims of work-related diseases who worked at the firm's semiconductor and display factories, ending disputes with the victims and their families that lasted for 11 years. ",http://www.koreatimes.co.kr/www/tech/2018/12/133_259210.html
2018/11/23 17:31,SK Group head gives holding firms' shares to relatives ,SK Group head Chey Tae-won on Friday decided to hand over a 4.68 percent stake of the group's holding company to his relatives. ,http://www.koreatimes.co.kr/www/tech/2018/12/133_259226.html
2018/11/23 17:28,Doubts growing over reliability of cloud computing services ,"With an error in cloud computing services offered by Amazon Web Services (AWS) Thursday coming as a shock, industry officials are raising concerns that the latest incident could arouse mistrust in cloud services and put a brake on the rapidly growing Korean cloud market. ",http://www.koreatimes.co.kr/www/tech/2018/12/133_259211.html
2018/11/23 11:07,Samsung delivers apology to victims of work-related diseases ,"Samsung Electronics Co. made a formal apology Friday to all victims of work-related diseases who were employed at the company's chip and display production lines, settling the long-standing dispute that lasted for more than a decade. Samsung Electronics President and CEO Kim Ki-nam, who heads the tech giant's crucial device solution division, expressed deep regrets on behalf ...",http://www.koreatimes.co.kr/www/tech/2018/12/133_259191.html
2018/11/23 9:39,US asks allies to avoid Huawei's equipment: WSJ ,"The U.S. government is trying to persuade wireless and internet providers in allied countries to avoid telecommunications equipment from China's Huawei Technologies , the Wall Street Journal reported on Thursday. ",http://www.koreatimes.co.kr/www/tech/2018/12/133_259188.html
